id,date,feedback_text,sentiment,short_summary,detailed_summary
72,2025-07-12,"Neutral review, it’s acceptable.",neutral,"Neutral review, it's acceptable . review is based on a review of the u.s.","Neutral review, it's acceptable . review is based on a review of the u.s.-based system and a broader review ."
73,2025-09-22,Loved it! Totally worth the money.,positive,loved it! Totally worth the money! . i love it!,loved it! Totally worth the money! . i'm a big fan of this post - it's a great post .
74,2025-10-03,"Very happy with the purchase, thank you!",positive,"very happy with the purchase, thank you . i am very pleased with it .","very happy with the purchase, thank you . i am very pleased with this purchase . the purchase was a pleasure to have ."
75,2025-05-16,"Very happy with the purchase, thank you!",positive,"very happy with the purchase, thank you . i am very pleased with it .","very happy with the purchase, thank you . i am very pleased with this purchase . the purchase was a pleasure to have ."
76,2025-06-17,Product arrived damaged and late.,negative,product arrived damaged and late . product arrived in good condition and was shipped to u.s.,product arrived damaged and late . product arrived in good condition and was shipped to the u.s. in january .
77,2025-09-11,No major issues but can be better.,neutral,there are no major issues but can be better . no issues but a major issue .,"there are no major issues but can be better . no issues but a major issue can be a problem . if you are a big fan, you can get a good deal of money ."
78,2025-05-29,Average experience overall.,neutral,average experience overall . average experience averaged in a year .,average experience overall . average experience averaged at a total of 0 compared to 0 average average . averaging experience per year.
79,2025-10-20,Not happy with the quality.,negative,not happy with the quality of the service . the quality was excellent .,"not happy with the quality of the service . the quality is excellent - not happy - with the service of the staff . if you have any questions, please contact us at e-mail."
80,2025-07-25,"Terrible service, waste of money.",negative,"Terrible service, waste of money, wasting of money .","Terrible service, waste of money, wasting of money . service is a waste of time, wastes of money and waste of resources ."
81,2025-05-26,No major issues but can be better.,neutral,there are no major issues but can be better . no issues but a major issue .,"there are no major issues but can be better . no issues but a major issue can be a problem . if you are a big fan, you can get a good deal of money ."
82,2025-07-24,Loved it! Totally worth the money.,positive,loved it! Totally worth the money! . i love it!,loved it! Totally worth the money! . i'm a big fan of this post - it's a great post .
83,2025-05-06,Very bad experience. Not satisfied at all.,negative,a bad experience. not satisfied at all . not happy at all.,"a bad experience. not satisfied at all . not happy at all. a very bad experience, a poor experience and a good experience."
84,2025-05-21,"Terrible service, waste of money.",negative,"Terrible service, waste of money, wasting of money .","Terrible service, waste of money, wasting of money . service is a waste of time, wastes of money and waste of resources ."
85,2025-05-06,Customer support was unhelpful.,negative,customer support was unhelpful . the customer support team was very friendly and helpful.,customer support was unhelpful . the customer support team was very friendly and helpful in all aspects of the customer service and customer support .
86,2025-05-09,Customer support was unhelpful.,negative,customer support was unhelpful . the customer support team was very friendly and helpful.,customer support was unhelpful . the customer support team was very friendly and helpful in all aspects of the customer service and customer support .
87,2025-09-22,The product is amazing! It works perfectly.,positive,the product is amazing! It works perfectly! . . the .,the product is amazing! It works perfectly! . . The product is a great addition to your home & garden . it's easy to use.
88,2025-09-25,"Very happy with the purchase, thank you!",positive,"very happy with the purchase, thank you . i am very pleased with it .","very happy with the purchase, thank you . i am very pleased with this purchase . the purchase was a pleasure to have ."
89,2025-06-21,"Neutral review, it’s acceptable.",neutral,"Neutral review, it's acceptable . review is based on a review of the u.s.","Neutral review, it's acceptable . review is based on a review of the u.s.-based system and a broader review ."
90,2025-07-20,Not happy with the quality.,negative,not happy with the quality of the service . the quality was excellent .,"not happy with the quality of the service . the quality is excellent - not happy - with the service of the staff . if you have any questions, please contact us at e-mail."
91,2025-06-12,"It works fine, nothing special.",neutral,"it works fine, nothing special. It works fine and nothing special .","it works fine, nothing special. It works fine - nothing special - if you're looking for a better way to get to the top of the list."
92,2025-05-14,Very bad experience. Not satisfied at all.,negative,a bad experience. not satisfied at all . not happy at all.,"a bad experience. not satisfied at all . not happy at all. a very bad experience, a poor experience and a good experience."
93,2025-05-11,"Great experience, will recommend to others.",positive,"Great experience, will recommend to others . a great experience, great experience.","Great experience, will recommend to others . a great experience, a very enjoyable experience . the best part of the experience is that you will be able to enjoy the experience."
94,2025-05-12,"Great experience, will recommend to others.",positive,"Great experience, will recommend to others . a great experience, great experience.","Great experience, will recommend to others . a great experience, a very enjoyable experience . the best part of the experience is that you will be able to enjoy the experience."
95,2025-06-01,No major issues but can be better.,neutral,there are no major issues but can be better . no issues but a major issue .,"there are no major issues but can be better . no issues but a major issue can be a problem . if you are a big fan, you can get a good deal of money ."
96,2025-10-08,"It works fine, nothing special.",neutral,"it works fine, nothing special. It works fine and nothing special .","it works fine, nothing special. It works fine - nothing special - if you're looking for a better way to get to the top of the list."
97,2025-10-28,Excellent service and quick response.,positive,excellent service and quick response . good service and excellent service .,excellent service and quick response . good service and excellent service . a quick response and a fast response - a great deal of money .
98,2025-05-30,Customer support was unhelpful.,negative,customer support was unhelpful . the customer support team was very friendly and helpful.,customer support was unhelpful . the customer support team was very friendly and helpful in all aspects of the customer service and customer support .
99,2025-10-17,Customer support was unhelpful.,negative,customer support was unhelpful . the customer support team was very friendly and helpful.,customer support was unhelpful . the customer support team was very friendly and helpful in all aspects of the customer service and customer support .
100,2025-10-05,Not happy with the quality.,negative,not happy with the quality of the service . the quality was excellent .,"not happy with the quality of the service . the quality is excellent - not happy - with the service of the staff . if you have any questions, please contact us at e-mail."
